coin,r2_lasso,r2_ridge,mse_lasso,mse_ridge,mean_actual_return,std_actual_return,realized_sharpe
BALUSD,-0.0010206842155022,-0.0076028011190076,0.0001226059265123,0.0001234121101947,-0.0003118384502199,0.0110684773912807,-0.028173563462807784
TRXUSD,-0.0010953759251879,-0.0291360238833695,4.047132662736027e-05,4.160492713101818e-05,7.790683781889667e-05,0.006358594452743,0.01225221051568855
DOTUSD,-0.0013093442776153,-0.0018405493566377,9.87467424193749e-05,9.879912859894057e-05,-6.209944018125243e-05,0.0099312576131658,-0.0062529281386203926
DASHUSD,-0.0013869274817772,-0.0062241890464702,9.48970906121051e-05,9.53554968848667e-05,-5.10553340346301e-05,0.0097351433307761,-0.0052444357828021725
ZECUSD,-0.00138944650878,-0.0013907416162577,0.0001211675052493,0.0001211676619565,2.6710216392782165e-05,0.011000375382518,0.002428118629045199
LPTUSD,-0.001534082887812,-0.0007007267544576,0.0002362912817616,0.0002360946685936,-0.00031864310589,0.0153618051021741,-0.020742556214627644
KSMUSD,-0.001600875522514,-0.0048382454258206,0.000151792583006,0.000152283206319,-6.602561003440977e-05,0.0123113618968421,-0.005362981820179092
BCHUSD,-0.0017012757175931,-0.0051285452233797,9.129247689463364e-05,9.160482941903728e-05,1.6636961192079036e-05,0.0095469508584498,0.0017426465725812364
XDGUSD,-0.0018060638653027,-0.0048130973170352,0.0001249833717551,0.0001253585233871,5.552613513316665e-06,0.0111701802891258,0.000497092559797101
ATOMUSD,-0.0020253045888793,-0.0060129385255522,9.407445728379764e-05,9.444883355625404e-05,-8.512263933056326e-05,0.0096898734859897,-0.008784700796521189
ICXUSD,-0.0021988135477954,-0.0049306961303769,0.0001260697267926,0.0001264133788566,-0.0002212352165907,0.0112166194846477,-0.019723876422259565
ETCUSD,-0.0023342230920682,-0.0078896158757577,8.279320233533235e-05,8.325207997135018e-05,1.1990971300127246e-05,0.0090887998568873,0.0013193129443862428
FLOWUSD,-0.0024151372621203,-0.0042236369772121,0.0001032853235613,0.0001034716649994,-9.447022896637598e-05,0.0101513962006635,-0.009306131599927246
LUNAUSD,-0.0030672630904784,-0.0665521082118134,0.0001318833004761,0.0001402302889712,3.1299690860683555e-06,0.011467476565321,0.0002729431421323982
XBTUSD,-0.0043734623348783,-0.0049634267967502,2.710781904063211e-05,2.7123742051815263e-05,6.171090235815776e-05,0.0051953225077754,0.011878165843564142
XTZUSD,-0.0045185043702982,-0.0048951359492157,0.0001083471361602,0.0001083877595561,-5.5590466365522285e-05,0.010386032507425,-0.005352425608699042
XLMUSD,-0.0049973431099301,-0.0108700317339622,0.0001032748463251,0.0001038783315177,5.8541454556885974e-05,0.0101375171290576,0.005774732985563703
XRPUSD,-0.0051216923671479,-0.0204185953460187,9.26942099561858e-05,9.410491907446527e-05,9.653261860733276e-05,0.009603572997029,0.010051739976068957
MANAUSD,-0.0051794641673632,-0.0087538754287499,0.0001330386582486,0.0001335117428024,-8.326279598608702e-05,0.0115052662739405,-0.007236929072617622
LTCUSD,-0.0069483595305277,-0.0111727916051607,7.489088321450013e-05,7.520507156999477e-05,-5.697484405615119e-06,0.0086243417590981,-0.0006606283197908591
XMRUSD,-0.0073496547063256,-0.0090121558243057,6.17044472018429e-05,6.180628246031363e-05,2.707533336781928e-05,0.0078267895481527,0.0034593153682290685
GNOUSD,-0.0085570620887607,-0.0100149191993996,9.767222229002464e-05,9.78134063133485e-05,-7.139186061299266e-05,0.0098415789067705,-0.007254106408056001
MOVRUSD,-0.0094181382862956,-0.0185438351649094,0.0001889052107435,0.00019061301807,-6.336553378813082e-05,0.0136812901773602,-0.004631546657272726
BNTUSD,-0.0135684755179015,-0.0378404511693817,0.00016429219276,0.0001682265062264,0.0002535464617087,0.0127360382093518,0.019907796878508598
LSKUSD,-0.0211161379094282,-0.0244532179973788,0.0002131565605043,0.0002138531712886,3.851845667543047e-06,0.0144493991425606,0.0002665747986847054
WBTCUSD,-0.08682508059237,-0.0775675777853734,6.208211362535463e-05,6.155330236454185e-05,-0.0001572656102196,0.0075598893554192,-0.020802633851627252
USDTUSD,-0.2207912053933327,-0.4676431010776902,2.01987877750638e-08,2.4283113604716243e-08,-7.057627436064925e-10,0.0001286345644775,-5.486571563974474e-06
